,palavra,contagem
1017,tentou,3
1018,privatização,3
1019,debater,3
1020,terão,3
1021,decisão,3
1022,necessário,3
1023,divide,3
1024,restaurar,3
1025,trabalha,3
1026,mal,3
1027,esquecem,3
1028,tema,3
1029,político,3
1030,crítica,3
1031,concorda,3
1032,condições,3
1033,apoiando,3
1034,impedir,3
1035,negros,3
1036,instância,3
1037,juntas,3
1038,objetiva,3
1039,advogada,3
1040,levar,3
1041,conversar,3
1042,leis,3
1043,defendeu,3
1044,credibilidade,3
1045,capaz,3
1046,barata,3
1047,trocar,3
1048,termos,3
1049,empresários,3
1050,grosso,3
1051,dei,3
1052,deputado,3
1053,eleitos,3
1054,concordo,3
1055,condição,3
1056,propaganda,3
1057,serviço,3
1058,entenda,3
1059,séria,3
1060,governador,3
1061,zema,3
1062,indica,3
1063,prefeito,3
1064,estudo,3
1065,situação,3
1066,incompetência,3
1067,considerado,3
1068,parar,3
1069,preço,3
1070,querem,3
1071,cadeia,3
1072,defendo,3
1073,afirmou,3
1074,diferentes,3
1075,escândalos,3
1076,eleitor,3
1077,disseminar,3
1078,refinanciar,3
1079,votos,3
1080,ldo,3
1081,mão,3
1082,barato,3
1083,rio,3
1084,thays,3
1085,mesmas,3
1086,sofreu,3
1087,escravidão,3
1088,boas,3
1089,aquilo,3
1090,somente,3
1091,efetivamente,3
1092,continuar,3
1093,lembra,3
1094,crime,3
1095,juros,3
1096,após,3
1097,presente,3
1098,fosse,3
1099,sala,3
1100,quebra,3
1101,voltadas,3
1102,juro,3
1103,campanhas,3
1104,mentir,3
1105,investigação,3
1106,inteira,3
1107,citar,3
1108,manutenção,3
1109,transmitido,3
1110,rádios,3
1111,encontro,3
1112,empregada,3
1113,torno,3
1114,vários,3
1115,histórico,3
1116,vá,3
1117,honrar,3
1118,pdt,3
1119,doméstica,3
1120,escolher,3
1121,mdb,3
1122,aprovadas,3
1123,pesado,3
1124,reunião,3
1125,detalhes,3
1126,terminar,3
1127,usando,3
1128,trabalhamos,3
1129,analisando,3
1130,integrantes,3
1131,toneladas,3
1132,fm,3
1133,cá,3
1134,900,3
1135,governabilidade,3
1136,35,3
1137,faltando,3
1138,absolutamente,2
1139,ia,2
1140,acusadora,2
1141,mata,2
1142,denunciamos,2
1143,geram,2
1144,machista,2
1145,direita,2
1146,vejo,2
1147,2020,2
1148,tentativa,2
1149,coronavírus,2
1150,feminino,2
1151,vitimismo,2
1152,perversa,2
1153,hospital,2
1154,comportamento,2
1155,calheiros,2
1156,26,2
1157,invertida,2
1158,terras,2
1159,reformular,2
1160,titulação,2
1161,usado,2
1162,mania,2
1163,imaginei,2
1164,produzem,2
1165,morrem,2
1166,renan,2
1167,recebeu,2
1168,morre,2
1169,medíocre,2
1170,período,2
1171,tratamento,2
1172,médico,2
1173,infelicidade,2
1174,extraordinária,2
1175,tabela,2
1176,eleger,2
1177,uso,2
1178,aliás,2
1179,eleitores,2
1180,barretos,2
1181,assinar,2
1182,negras,2
1183,documento,2
1184,ideias,2
1185,meninos,2
1186,privados,2
1187,hospitais,2
1188,processos,2
1189,corrompeu,2
1190,40,2
1191,complexo,2
1192,covid19,2
1193,alimentando,2
1194,defendemos,2
1195,produtor,2
1196,produção,2
1197,fabrica,2
1198,marco,2
1199,realização,2
1200,óbvio,2
1201,vir,2
1202,virar,2
1203,precisou,2
1204,frente,2
1205,excrescência,2
1206,companheiro,2
1207,tivéssemos,2
1208,calamidade,2
1209,algum,2
1210,explica,2
1211,teríamos,2
1212,escarnece,2
1213,evangélicos,2
1214,aprovou,2
1215,garante,2
1216,pudesse,2
1217,pegar,2
1218,dólar,2
1219,religiões,2
1220,católicos,2
1221,intimidar,2
1222,totalmente,2
1223,coordenação,2
1224,ficamos,2
1225,documentos,2
1226,concessão,2
1227,braço,2
1228,classe,2
1229,colocando,2
1230,registro,2
1231,permitir,2
1232,doenças,2
1233,laico,2
1234,diferenças,2
1235,rádio,2
1236,chegamos,2
1237,religiosa,2
1238,gogó,2
1239,morreram,2
1240,culpa,2
1241,global,2
1242,exportar,2
1243,absurdo,2
1244,chamar,2
1245,católico,2
1246,amigos,2
1247,separava,2
1248,prefeita,2
1249,ah,2
1250,55,2
1251,queremos,2
1252,insensibilidade,2
1253,sequela,2
1254,brava,2
1255,quis,2
1256,aceito,2
1257,especialmente,2
1258,dividir,2
1259,novamente,2
1260,projetos,2
1261,crédito,2
1262,rasgar,2
1263,surpresa,2
1264,atender,2
1265,produzimos,2
1266,conclamo,2
1267,procurar,2
1268,segurar,2
1269,ônibus,2
1270,devida,2
1271,inss,2
1272,medida,2
1273,escutem,2
1274,mínimos,2
1275,desafio,2
1276,conto,2
1277,principalmente,2
1278,falei,2
1279,microcrédito,2
1280,preocupa,2
1281,jardineiro,2
1282,seria,2
1283,vacinal,2
1284,magalhães,2
1285,servir,2
1286,marcelo,2
1287,bombando,2
1288,rebelo,2
1289,esteve,2
1290,crescia,2
1291,contratou,2
1292,boca,2
1293,tributária,2
1294,obsessão,2
1295,acompanhado,2
1296,descaso,2
1297,potência,2
1298,nordeste,2
1299,dormir,2
1300,entro,2
1301,fraquejada,2
1302,fronteira,2
1303,agrícola,2
1304,quebrado,2
1305,férias,2
1306,vos,2
1307,descanso,2
1308,22,2
1309,repetir,2
1310,falo,2
1311,produzindo,2
1312,salário,2
1313,vaga,2
1314,poderia,2
1315,aberta,2
1316,levou,2
1317,decreto,2
1318,aumentando,2
1319,lucro,2
1320,spc,2
1321,roubar,2
1322,contar,2
1323,serasa,2
1324,alimentos,2
1325,reúne,2
1326,intervalo,2
1327,cima,2
