,palavra,contagem
1694,serva,2
1695,código,2
1696,aparece,2
1697,força,2
1698,aprende,2
1699,leão,2
1700,relações,2
1701,possibilidade,2
1702,mediado,2
1703,acreditar,2
1704,negado,2
1705,pacaraima,1
1706,prezado,1
1707,procurada,1
1708,juntamente,1
1709,persegue,1
1710,brilhante,1
1711,370,1
1712,fugindo,1
1713,nicarágua,1
1714,aziz,1
1715,médicas,1
1716,cristãos,1
1717,cena,1
1718,pesando,1
1719,freiras,1
1720,esculhambadas,1
1721,iguais,1
1722,metrôs,1
1723,sancionei,1
1724,atos,1
1725,defendida,1
1726,errado,1
1727,escondidinha,1
1728,expulsa,1
1729,praticava,1
1730,amam,1
1731,petro,1
1732,questionado,1
1733,maltratadas,1
1734,curitiba,1
1735,presos,1
1736,visitou,1
1737,agrido,1
1738,padres,1
1739,prende,1
1740,candidaturas,1
1741,meter,1
1742,nariz,1
1743,omar,1
1744,perseguição,1
1745,quilos,1
1746,ataco,1
1747,drogado,1
1748,ortega,1
1749,pastel,1
1750,recebemos,1
1751,trabalhadores,1
1752,memória,1
1753,financeiro,1
1754,consegui,1
1755,absurda,1
1756,pagou,1
1757,carga,1
1758,gastou,1
1759,deprimente,1
1760,rouba,1
1761,postos,1
1762,novos,1
1763,impede,1
1764,agrava,1
1765,excessiva,1
1766,cobrança,1
1767,econômicos,1
1768,acabei,1
1769,compreensão,1
1770,banir,1
1771,pregamos,1
1772,prostração,1
1773,legítimo,1
1774,sustentação,1
1775,ferro,1
1776,portarias,1
1777,transferir,1
1778,tomei,1
1779,posse,1
1780,profunda,1
1781,aparecer,1
1782,botei,1
1783,adotálas,1
1784,mostrado,1
1785,mortas,1
1786,possivelmente,1
1787,violentadas,1
1788,irmã,1
1789,batalha,1
1790,saída,1
1791,volto,1
1792,1998,1
1793,rigorosamente,1
1794,estabilidade,1
1795,complexa,1
1796,gerou,1
1797,renitente,1
1798,39,1
1799,líquida,1
1800,opositores,1
1801,consigo,1
1802,externa,1
1803,604,1
1804,pessoalmente,1
1805,humildade,1
1806,quarta,1
1807,agrária,1
1808,propriedade,1
1809,derrubaram,1
1810,pedalada,1
1811,líder,1
1812,divulga,1
1813,prezada,1
1814,derruba,1
1815,plenitude,1
1816,apreensão,1
1817,motociata,1
1818,agressão,1
1819,julgamento,1
1820,posição,1
1821,tranquilo,1
1822,mimimi,1
1823,joguinho,1
1824,pensei,1
1825,humilhar,1
1826,deixo,1
1827,governando,1
1828,beneficiado,1
1829,desculpem,1
1830,polarizada,1
1831,chaves,1
1832,maduro,1
1833,venezuela,1
1834,2016,1
1835,culminou,1
1836,podíamos,1
1837,destila,1
1838,concepção,1
1839,abateu,1
1840,aborto,1
1841,solidarizando,1
1842,mudaremos,1
1843,verdadeiros,1
1844,cuidados,1
1845,fácil,1
1846,amigo,1
1847,aponte,1
1848,desrespeitosa,1
1849,2014,1
1850,preparar,1
1851,venceu,1
1852,mente,1
1853,finlândia,1
1854,exigindo,1
1855,oposição,1
1856,cunha,1
1857,leila,1
1858,liguei,1
1859,aécio,1
1860,neves,1
1861,resolveram,1
1862,geraldo,1
1863,oinegue,1
1864,alckmin,1
1865,cheio,1
1866,cuide,1
1867,licitação,1
1868,maracutaia,1
1869,reclamam,1
1870,apesar,1
1871,encrenca,1
1872,critico,1
1873,trago,1
1874,hein,1
1875,profissional,1
1876,finalmente,1
1877,esgoto,1
1878,ineficientes,1
1879,nasci,1
1880,controla,1
1881,vejam,1
1882,essenciais,1
1883,áreas,1
1884,tocamos,1
1885,ferrovia,1
1886,haja,1
1887,negócios,1
1888,viram,1
1889,confiança,1
1890,amarela,1
1891,conversa,1
1892,começando,1
1893,naquilo,1
1894,tenhamos,1
1895,44,1
1896,acabaria,1
1897,economizássemos,1
1898,humanas,1
1899,supermercado,1
1900,perfeito,1
1901,equilíbrio,1
1902,consiga,1
1903,adiante,1
1904,fazenda,1
1905,desperdiçadas,1
1906,custo,1
1907,gargalos,1
1908,estruturante,1
1909,públicoprivado,1
1910,aplicado,1
1911,madura,1
1912,aplicada,1
1913,debata,1
1914,diga,1
1915,léu,1
1916,atoleiro,1
1917,feitos,1
1918,cabide,1
1919,2033,1
1920,traçado,1
1921,encampando,1
1922,empreende,1
1923,sufocando,1
1924,assume,1
1925,programação,1
1926,freitas,1
1927,acreditando,1
1928,honrando,1
1929,seguir,1
1930,avalia,1
1931,delegado,1
1932,reforcem,1
1933,entregar,1
1934,disfarçar,1
1935,atriz,1
1936,misturar,1
1937,página,1
1938,presidentes,1
1939,aguento,1
1940,termina,1
1941,subiu,1
1942,anote,1
1943,propôs,1
1944,vacinado,1
1945,graças,1
1946,9,1
1947,jacaré,1
1948,outubro,1
1949,audiência,1
1950,olhando,1
1951,fundiária,1
1952,gerado,1
1953,exportador,1
1954,públicoprivadas,1
1955,parcerias,1
1956,compactuamos,1
1957,inteligente,1
1958,vergonhosa,1
1959,deslocamento,1
1960,eleito,1
1961,romeu,1
1962,magnitude,1
1963,rápido,1
1964,impoluta,1
1965,atraiu,1
1966,safra,1
1967,escoamento,1
1968,pará,1
1969,ligaria,1
1970,saiu,1
1971,liminar,1
1972,280,1
1973,suspenso,1
1974,ferrogrão,1
1975,portos,1
1976,cheguem,1
1977,gargalo,1
1978,regularização,1
1979,exatas,1
1980,rasgada,1
1981,cantar,1
1982,internet,1
1983,atendido,1
1984,gabrilli,1
1985,tetraplégica,1
1986,acumulado,1
1987,28,1
1988,tornou,1
1989,querida,1
1990,reconstruir,1
1991,relembrar,1
1992,abre,1
1993,ficha,1
1994,canais,1
1995,exibido,1
1996,centrooeste,1
1997,reações,1
1998,reeleita,1
1999,76,1
2000,vicegovernadora,1
2001,promovido,1
2002,deputada,1
2003,despedimos,1
2004,tributárias,1
2005,recusado,1
2006,estadual,1
2007,governam,1
2008,ineficiência,1
2009,valorosa,1
2010,assassino,1
2011,torturador,1
2012,plural,1
2013,socialista,1
2014,defendendo,1
2015,sancionou,1
2016,gostasse,1
2017,acusar,1
2018,desespero,1
2019,polarizando,1
2020,defendi,1
2021,prova,1
2022,acusa,1
2023,pertence,1
2024,divulgados,1
2025,recortes,1
2026,intimida,1
2027,215,1
2028,desigualdade,1
2029,sozinhos,1
2030,discriminação,1
2031,misoginia,1
2032,comete,1
2033,trabalhistas,1
2034,domésticas,1
2035,totalidade,1
2036,retrocessos,1
2037,empregadas,1
2038,esburacadas,1
2039,verdadeiramente,1
2040,estradas,1
2041,agregado,1
2042,bens,1
2043,commodities,1
2044,continuarmos,1
2045,vital,1
2046,sigilos,1
2047,esgotado,1
2048,competitivos,1
2049,podendo,1
2050,tornar,1
2051,ecológica,1
2052,luciano,1
2053,rápidos,1
2054,baratos,1
2055,bivar,1
2056,indiretos,1
2057,diretos,1
2058,injetar,1
2059,próximos,1
2060,rodovias,1
2061,antônio,1
2062,oeste,1
2063,leste,1
2064,parados,1
2065,rueda,1
2066,celeiro,1
2067,apagar,1
2068,plena,1
2069,prestar,1
2070,julgado,1
2071,sensibilidade,1
2072,cobrado,1
2073,burocracia,1
2074,somar,1
2075,inferniza,1
2076,procedente,1
2077,exerce,1
2078,trabalham,1
2079,cargo,1
2080,enfatizar,1
2081,chamou,1
2082,presidiário,1
2083,razões,1
2084,32,1
2085,crescido,1
2086,limpo,1
2087,teria,1
2088,enaltecer,1
2089,viralata,1
2090,parente,1
2091,alimentado,1
2092,algodão,1
2093,produtores,1
2094,motor,1
2095,fascista,1
2096,reformas,1
2097,justiça,1
2098,consertado,1
2099,aguerridas,1
2100,esposa,1
2101,missão,1
2102,coronelismo,1
2103,tenham,1
2104,romper,1
2105,rompi,1
2106,sentada,1
2107,aguenta,1
2108,dnit,1
2109,levantar,1
2110,mostrando,1
2111,estaduais,1
2112,levantam,1
2113,representação,1
2114,afinco,1
2115,neto,1
2116,costa,1
2117,pagador,1
2118,valdemar,1
2119,filiado,1
2120,corporações,1
2121,solene,1
2122,tragédia,1
2123,utilização,1
2124,perpetuação,1
2125,trágica,1
2126,críticos,1
2127,socorro,1
2128,contigo,1
2129,peça,1
2130,teriam,1
2131,preocupada,1
2132,vacinada,1
2133,harvard,1
2134,livros,1
2135,escritos,1
2136,prometido,1
2137,envolvidas,1
2138,exesposas,1
2139,escrúpulo,1
2140,desculpar,1
2141,milhão,1
2142,ipiranga,1
2143,gracinha,1
2144,cometi,1
2145,vinte,1
2146,essencialidade,1
2147,procuramos,1
2148,abaixa,1
2149,jetski,1
2150,videogame,1
2151,criamos,1
2152,abaixar,1
2153,arroz,1
2154,raias,1
2155,feijão,1
2156,leite,1
2157,sinto,1
2158,tal,1
2159,renovação,1
2160,aplicados,1
2161,declarados,1
2162,88,1
2163,aumentaria,1
2164,percepção,1
2165,cunhado,1
2166,zanga,1
2167,eterna,1
2168,esquecida,1
2169,automóvel,1
2170,duplicar,1
2171,aconteça,1
2172,quitação,1
2173,ganância,1
2174,propor,1
2175,áfrica,1
2176,erradique,1
2177,atirador,1
2178,irritado,1
2179,compreende,1
2180,chorava,1
2181,rasga,1
2182,seco,1
2183,babá,1
2184,pão,1
2185,carregamento,1
2186,pedaço,1
2187,bocado,1
2188,pcc,1
2189,milícias,1
2190,bancos,1
2191,alegação,1
2192,recebe,1
2193,330,1
2194,democratizou,1
2195,setoriais,1
2196,fundos,1
2197,perpetuar,1
2198,2018,1
2199,centavo,1
2200,170,1
2201,voluntários,1
2202,custou,1
2203,botar,1
2204,guedes,1
2205,feitas,1
2206,sorteada,1
2207,desenhou,1
2208,emitiu,1
2209,benevides,1
2210,série,1
2211,mauro,1
2212,iniciativas,1
2213,liberando,1
2214,amplamente,1
2215,coopero,1
2216,colaboro,1
2217,aplaudo,1
2218,conjunto,1
2219,circulação,1
2220,pouquíssimo,1
2221,17,1
2222,estudada,1
2223,provei,1
2224,frias,1
2225,tentaram,1
2226,escabroso,1
2227,covaxin,1
2228,mea,1
2229,superfaturadas,1
2230,apoiam,1
2231,confirmar,1
2232,preços,1
2233,dirá,1
2234,vacinou,1
2235,colocou,1
2236,sabendo,1
2237,notas,1
2238,executados,1
2239,baixar,1
2240,atrasou,1
2241,integralidade,1
2242,entregou,1
2243,consequência,1
2244,conviver,1
2245,comovida,1
2246,ligam,1
2247,entrei,1
2248,ativamente,1
2249,participou,1
2250,belo,1
2251,horizonte,1
2252,miguel,1
2253,antecipadamente,1
2254,parcela,1
2255,serem,1
2256,pagos,1
2257,coisinha,1
2258,tapioca,1
2259,usava,1
2260,higiênico,1
2261,abertura,1
2262,engavetador,1
2263,procurador,1
2264,provar,1
2265,policial,1
2266,conhecida,1
2267,remunerou,1
2268,facilitou,1
2269,esconder,1
2270,perguntei,1
2271,retornar,1
2272,esquemas,1
2273,comprando,1
2274,necessários,1
2275,mesada,1
2276,consciência,1
2277,inventouse,1
2278,passados,1
2279,processada,1
2280,vantagem,1
2281,científica,1
2282,comprovação,1
2283,paraíso,1
2284,ligando,1
2285,lágrima,1
2286,chorando,1
2287,jatinho,1
2288,opçõesas,1
2289,doadores,1
2290,morreu,1
2291,enlutamos,1
2292,custa,1
2293,coveiro,1
2294,financiarmos,1
2295,estariam,1
2296,presido,1
2297,conseguirem,1
2298,falarem,1
2299,manaus,1
2300,oxigênio,1
2301,sufocamento,1
2302,simular,1
2303,reproduziu,1
2304,propagandas,1
2305,grupos,1
2306,whatsapp,1
2307,catando,1
2308,fuçando,1
2309,rabo,1
2310,criado,1
2311,argumento,1
2312,propondo,1
2313,explicação,1
2314,explicou,1
2315,indecência,1
2316,gancho,1
2317,derramar,1
2318,dissesse,1
2319,osso,1
2320,caldo,1
2321,proteína,1
2322,682,1
2323,sérios,1
2324,importem,1
2325,prezem,1
2326,brincar,1
2327,sociedade,1
2328,monstro,1
2329,tu,1
2330,irresponsável,1
2331,pessoais,1
2332,agiu,1
2333,cartão,1
2334,visita,1
2335,alvorada,1
2336,vetei,1
2337,derrubou,1
2338,negligência,1
2339,derrubar,1
2340,brincadeira,1
2341,nobre,1
2342,assinado,1
2343,nota,1
2344,desta,1
2345,perdão,1
2346,endividamento,1
2347,cariocas,1
2348,sejam,1
2349,corta,1
2350,lancei,1
2351,consistentemente,1
2352,homologada,1
2353,altos,1
2354,praticados,1
2355,paritário,1
2356,administrativa,1
2357,teremos,1
2358,52,1
2359,requisito,1
2360,expansão,1
2361,divirjo,1
2362,conclusão,1
2363,esteja,1
2364,recorde,1
2365,terceira,1
2366,endereçada,1
2367,sindical,1
2368,movimento,1
2369,estuprada,1
2370,sete,1
2371,feminicídio,1
2372,xxi,1
2373,queda,1
2374,instituto,1
2375,estudos,1
2376,socioeconômicos,1
2377,bicicleta,1
2378,mentiroso,1
2379,passarei,1
2380,obrigatoriamente,1
2381,determinada,1
2382,ebx,1
2383,rica,1
2384,destruiu,1
2385,gigantismo,1
2386,fragilizada,1
2387,esgarçar,1
2388,estouradas,1
2389,recessão,1
2390,desempregados,1
2391,futebol,1
2392,jogo,1
2393,vagas,1
2394,realismo,1
2395,vivemos,1
2396,determinados,1
2397,alto,1
2398,cármen,1
2399,caíram,1
2400,humilhados,1
2401,lúcia,1
2402,numericamente,1
2403,domésticos,1
2404,méxico,1
2405,plenamente,1
2406,empregados,1
2407,motoristas,1
2408,jardineiros,1
2409,inesc,1
2410,revelam,1
2411,empreendedor,1
2412,levada,1
2413,discutir,1
2414,economista,1
2415,demonstrado,1
2416,violentas,1
2417,incluindo,1
2418,sobrar,1
2419,descontado,1
2420,universo,1
2421,vítimas,1
2422,126,1
2423,alíquota,1
2424,tributos,1
2425,excluir,1
2426,universal,1
2427,mofados,1
2428,economistas,1
2429,caminhando,1
2430,lindo,1
2431,atinge,1
2432,recebera,1
2433,recebido,1
2434,valorizar,1
2435,diminui,1
2436,varejista,1
2437,praticado,1
2438,conversando,1
2439,caminho,1
2440,percebia,1
2441,igual,1
2442,pequeno,1
2443,motorista,1
2444,transformálo,1
2445,legalize,1
2446,tirei,1
2447,cheiro,1
2448,sentindo,1
2449,cumprida,1
2450,entregador,1
2451,1888,1
2452,replicar,1
2453,amarelo,1
2454,legalização,1
2455,existentes,1
2456,conquistaram,1
2457,cresceram,1
2458,brutalmente,1
2459,denunciar,1
2460,crimes,1
2461,café,1
2462,jantar,1
2463,almoçar,1
2464,excelentes,1
2465,exemplos,1
2466,ficarmos,1
2467,inventando,1
2468,nova,1
2469,evolui,1
2470,literal,1
2471,preencher,1
2472,2011,1
2473,160,1
2474,delicadeza,1
2475,possuir,1
2476,aparentemente,1
2477,incompreensão,1
2478,frouxidão,1
2479,ampliálas,1
2480,regulação,1
2481,exército,1
2482,sensoriamento,1
2483,beleza,1
2484,salão,1
2485,empréstimo,1
2486,inserir,1
2487,milícia,1
2488,último,1
2489,caixa,1
2490,instrumentalizar,1
2491,ação,1
2492,maternidade,1
2493,exercício,1
2494,amparar,1
2495,promovam,1
2496,ações,1
2497,estimula,1
2498,qualifica,1
2499,ô,1
2500,11600,1
2501,papo,1
2502,grosseiro,1
2503,profundidade,1
2504,invés,1
2505,assistimos,1
2506,limite,1
2507,78,1
2508,concretamente,1
2509,nisso,1
2510,atitudes,1
2511,desconsiderem,1
2512,matar,1
2513,excepcional,1
2514,estrito,1
2515,cumprimento,1
2516,filhinha,1
2517,dever,1
2518,nasceu,1
2519,militar,1
2520,treinado,1
2521,fator,1
2522,chocar,1
2523,dureza,1
2524,motocicleta,1
2525,respondo,1
2526,amiga,1
2527,estilo,1
2528,bandido,1
2529,dessabor,1
2530,trouxe,1
2531,equívoco,1
2532,criticou,1
2533,sobrando,1
2534,efetivos,1
2535,cobrir,1
2536,interferência,1
2537,derem,1
2538,estela,1
2539,credores,1
2540,sousa,1
2541,crediaristas,1
2542,pinto,1
2543,fortalecimento,1
2544,leilão,1
2545,mostrou,1
2546,ocupar,1
2547,entanto,1
2548,cirogomescombr,1
2549,voltou,1
2550,cirotvcombr,1
2551,sentaram,1
2552,procure,1
2553,relativamente,1
2554,ministra,1
2555,perto,1
2556,pmdb,1
2557,ocuparam,1
2558,aparecem,1
2559,equilibrado,1
2560,autoengano,1
2561,fracassada,1
2562,antro,1
2563,cabides,1
2564,conseguido,1
2565,prestações,1
2566,enfrentar,1
2567,36,1
2568,claras,1
2569,contrabando,1
2570,malabarismo,1
2571,armamento,1
2572,mundial,1
2573,gerarem,1
2574,trabalharem,1
2575,votei,1
2576,piora,1
2577,converso,1
2578,autodefesa,1
2579,sustentar,1
2580,rural,1
2581,sucateada,1
2582,moro,1
2583,fazendas,1
2584,estatismo,1
2585,formas,1
2586,iluda,1
2587,forças,1
2588,chama,1
2589,volte,1
2590,diretorgeral,1
2591,intercalado,1
2592,justamente,1
2593,fechando,1
2594,moderado,1
2595,virei,1
2596,incluiremos,1
2597,daquele,1
2598,domicílio,1
2599,mostre,1
2600,politiqueiros,1
2601,perna,1
2602,previdência,1
2603,suplicy,1
2604,1000,1
2605,acompanhe,1
2606,noel,1
2607,fontes,1
2608,acabo,1
2609,manipulação,1
2610,demagógica,1
2611,venho,1
2612,houver,1
2613,véspera,1
2614,papai,1
2615,58,1
2616,aberração,1
2617,psol,1
2618,colaborado,1
2619,chaga,1
2620,afastada,1
2621,olhadinha,1
2622,considero,1
2623,administração,1
2624,encerrar,1
2625,desconhece,1
2626,penssan,1
2627,respeitadas,1
2628,recentes,1
2629,125,1
2630,comeram,1
2631,melhoria,1
2632,aprendendo,1
2633,naquele,1
2634,teoria,1
2635,graça,1
2636,enciclopedismo,1
2637,raso,1
2638,decorar,1
2639,puro,1
2640,oferecer,1
2641,per,1
2642,xix,1
2643,capita,1
2644,europa,1
2645,terceiros,1
2646,mercados,1
2647,pergunte,1
2648,serei,1
2649,xx,1
2650,exceções,1
2651,ensinando,1
2652,saúdo,1
2653,sucesso,1
2654,sobral,1
2655,i,1
2656,descalabro,1
2657,roubam,1
2658,fnde,1
2659,oferecemos,1
2660,maravilhosas,1
2661,aplicamos,1
2662,poderíamos,1
2663,mostra,1
2664,filha,1
2665,oferece,1
2666,salvo,1
2667,pcdob,1
2668,68,1
2669,melhora,1
2670,placa,1
2671,chocado,1
2672,pura,1
2673,procuram,1
2674,propriamente,1
2675,comem,1
2676,anda,1
2677,trocado,1
2678,anteontem,1
2679,pedra,1
2680,lar,1
2681,subnutrição,1
2682,ofende,1
2683,idades,1
2684,teme,1
2685,fiquei,1
2686,levaram,1
2687,conivência,1
2688,bravata,1
2689,índia,1
2690,europeia,1
2691,fluxo,1
2692,ultrapassasse,1
2693,carteira,1
2694,assinada,1
2695,saudade,1
2696,aberrações,1
2697,dignamente,1
2698,erguida,1
2699,costuma,1
2700,desviar,1
2701,gravíssimos,1
2702,familiares,1
2703,interpretado,1
2704,interpreta,1
2705,pagamos,1
2706,marido,1
2707,querer,1
2708,inadmissível,1
2709,próprios,1
2710,cadastrar,1
2711,dava,1
2712,corrigidos,1
2713,1200,1
2714,passam,1
2715,conseguia,1
2716,perdia,1
2717,atende,1
2718,incluílos,1
2719,esqueçamos,1
2720,38,1
2721,exagerado,1
2722,atendeu,1
2723,menores,1
2724,investimos,1
2725,colaborando,1
2726,diziam,1
2727,voltaríamos,1
2728,prépandemia,1
2729,taxa,1
2730,lamentamos,1
2731,fossem,1
2732,definitivo,1
2733,destruídos,1
2734,pronampe,1
2735,levandose,1
2736,diminuiu,1
2737,negociou,1
2738,garantido,1
2739,desperdiça,1
2740,curso,1
2741,china,1
2742,gerida,1
2743,ortopédico,1
2744,atendimentos,1
2745,cancelados,1
2746,adiados,1
2747,afinal,1
2748,saímos,1
2749,sensível,1
2750,catarata,1
2751,alheia,1
2752,virou,1
2753,enlutadas,1
2754,estudei,1
2755,atrasos,1
2756,quantos,1
2757,procedimento,1
2758,eletivos,1
2759,abraço,1
2760,fies,1
2761,passaram,1
2762,deixando,1
2763,garoto,1
2764,endividado,1
2765,110,1
2766,150,1
2767,chocante,1
2768,procedimentos,1
2769,escolho,1
2770,profissionais,1
2771,enfrentavam,1
2772,corajosamente,1
2773,pacientes,1
2774,precisavam,1
2775,pais,1
2776,perdeu,1
2777,superior,1
2778,telefone,1
2779,liberal,1
2780,executar,1
2781,complementar,1
2782,agilizar,1
2783,catástrofe,1
2784,ando,1
2785,concordamos,1
2786,usuário,1
2787,depoimento,1
2788,cura,1
2789,inveja,1
2790,súplica,1
2791,atualizar,1
2792,santas,1
2793,utilizamos,1
2794,bonito,1
2795,custar,1
2796,decretar,1
2797,aspecto,1
2798,arrastou,1
2799,tido,1
2800,resolvida,1
2801,estaríamos,1
2802,decretouse,1
2803,emergência,1
2804,morrer,1
2805,colocarmos,1
2806,exame,1
2807,consulta,1
2808,atrasada,1
2809,executarem,1
2810,pago,1
2811,42,1
2812,garotos,1
2813,arcaico,1
2814,estimular,1
2815,garotada,1
2816,interessada,1
2817,dominar,1
2818,tecnologias,1
2819,caixinha,1
2820,conteúdo,1
2821,intelectual,1
2822,passe,1
2823,funcionando,1
2824,experimentando,1
2825,êxito,1
2826,saem,1
2827,dali,1
2828,estágio,1
2829,emancipadora,1
2830,retreinar,1
2831,93,1
2832,devidamente,1
2833,reter,1
2834,êxodo,1
2835,48,1
2836,formação,1
2837,mensurar,1
2838,desperdiçando,1
2839,alfabetizadas,1
2840,motivar,1
2841,conteúdos,1
2842,medido,1
2843,estabelecermos,1
2844,pisa,1
2845,recomenda,1
2846,aprofundar,1
2847,primeiros,1
2848,ficam,1
2849,universitário,1
2850,contabilidade,1
2851,vereador,1
2852,dirigentes,1
2853,capacitados,1
2854,treinados,1
2855,concursados,1
2856,dotes,1
2857,envolver,1
2858,essencial,1
2859,perca,1
2860,capacitação,1
2861,circunstância,1
2862,mudança,1
2863,gaba,1
2864,adolescentes,1
2865,indicação,1
2866,elemento,1
2867,retidos,1
2868,encher,1
2869,aposta,1
2870,generalizar,1
2871,permita,1
2872,cumprimentando,1
2873,remuneração,1
2874,comparado,1
2875,viva,1
2876,qualificar,1
2877,material,1
2878,equipamento,1
2879,lousa,1
2880,giz,1
2881,3500,1
2882,pagando,1
2883,rússia,1
2884,moram,1
2885,únicas,1
2886,previsibilidade,1
2887,desarmonia,1
2888,democráticos,1
2889,livre,1
2890,democrático,1
2891,psdb,1
2892,reposicionar,1
2893,terem,1
2894,saiba,1
2895,funções,1
2896,judicializando,1
2897,consequentemente,1
2898,acaba,1
2899,excedendo,1
2900,critérios,1
2901,radicalização,1
2902,excessivamente,1
2903,desconforto,1
2904,harmoniosa,1
2905,economês,1
2906,duelar,1
2907,entendem,1
2908,trocaremos,1
2909,inovadora,1
2910,deveriam,1
2911,independente,1
2912,fortalece,1
2913,conflitos,1
2914,intromissão,1
2915,reeleito,1
2916,tensão,1
2917,contribui,1
2918,permitamme,1
2919,técnicos,1
2920,abalei,1
2921,escutando,1
2922,lanterninha,1
2923,admitir,1
2924,existir,1
2925,manifestam,1
2926,contrário,1
2927,retrato,1
2928,ruim,1
2929,testes,1
2930,imunidade,1
2931,agravou,1
2932,recente,1
2933,fundação,1
2934,getúlio,1
2935,vargas,1
2936,retrocesso,1
2937,interferir,1
2938,interessa,1
2939,amiguinhos,1
2940,interferiu,1
2941,banana,1
2942,conhecem,1
2943,possíveis,1
2944,voz,1
2945,ativismo,1
2946,judicial,1
2947,mandando,1
2948,condenado,1
2949,buscas,1
2950,apreensões,1
2951,barbaridades,1
2952,reagi,1
2953,anistia,1
2954,injustamente,1
2955,juridiquês,1
2956,chato,1
2957,retrocederam,1
2958,dinâmica,1
2959,repercussão,1
2960,temas,1
2961,buscados,1
2962,play,1
2963,bandcombr,1
2964,canal,1
2965,escolhendo,1
2966,tela,1
2967,comentam,1
2968,programáticas,1
2969,dirigida,1
2970,especializada,1
2971,rosa,1
2972,pesquisas,1
2973,gráficos,1
2974,apontando,1
2975,dificuldades,1
2976,sinal,1
2977,acompanha,1
2978,inédita,1
2979,concorrentes,1
2980,planalto,1
2981,agradecemos,1
2982,ofensa,1
2983,mediadores,1
2984,acessar,1
2985,formada,1
2986,advogado,1
2987,avaliar,1
2988,solicitação,1
2989,convidados,1
2990,exclusivos,1
2991,preocupações,1
2992,temse,1
2993,decepção,1
2994,comparecer,1
2995,atrapalha,1
2996,rala,1
2997,cobra,1
2998,entende,1
2999,vieram,1
3000,comparecimento,1
3001,covardia,1
3002,cansados,1
3003,dependo,1
3004,sentado,1
3005,sofá,1
3006,nesses,1
3007,esperança,1
3008,renovava,1
3009,ineficiente,1
3010,dono,1
3011,estender,1
3012,fiscais,1
3013,auxílios,1
3014,vulneráveis,1
3015,categorias,1
3016,zerados,1
3017,servidores,1
3018,cabem,1
3019,moeda,1
3020,desperdiçado,1
3021,enormes,1
3022,demandas,1
3023,assiste,1
3024,estagnada,1
3025,aumenta,1
3026,conciliar,1
3027,português,1
3028,década,1
3029,biodiversidade,1
3030,aparelhado,1
3031,lavagem,1
3032,agu,1
3033,coaf,1
3034,movimentações,1
3035,bancárias,1
3036,atípicas,1
3037,exceto,1
3038,anticorrupção,1
3039,banco,1
3040,central,1
3041,fazia,1
3042,malfeitos,1
3043,roubava,1
3044,desviava,1
3045,organizado,1
3046,cgu,1
3047,delação,1
3048,delatores,1
3049,francisco,1
3050,nordestino,1
3051,dágua,1
3052,montante,1
3053,equivalente,1
3054,120,1
3055,devolveram,1
3056,fiscalização,1
3057,acaso,1
3058,viria,1
3059,valem,1
3060,mentirosos,1
3061,compensa,1
3062,apurasse,1
3063,conclui,1
3064,premiada,1
3065,dariam,1
3066,marca,1
3067,camps,1
3068,422,1
3069,técnicas,1
3070,conhecido,1
3071,universitários,1
3072,85,1
3073,disponibilizados,1
3074,novas,1
3075,assentamento,1
3076,acordos,1
3077,tentasse,1
3078,contribuir,1
3079,preservação,1
3080,exploração,1
3081,178,1
3082,empresa,1
3083,reservado,1
3084,mentirosa,1
3085,recebia,1
3086,pacotes,1
3087,cleptocracia,1
3088,base,1
3089,roubo,1
3090,justifica,1
3091,indescritível,1
3092,pequena,1
3093,precisaria,1
3094,informado,1
3095,capitalização,1
3096,precisava,1
3097,agricultura,1
3098,familiar,1
3099,transposição,1
3100,concluídas,1
3101,abandono,1
3102,comprometido,1
3103,computador,1
3104,continuou,1
3105,estudando,1
3106,conseguiram,1
3107,quantidade,1
3108,evasão,1
3109,pretendo,1
3110,tipos,1
3111,prefeitos,1
3112,capitais,1
3113,pacto,1
3114,guerra,1
3115,situações,1
3116,quintupliquei,1
3117,tablet,1
3118,daquilo,1
3119,lidera,1
3120,baixos,1
3121,forte,1
3122,ampliou,1
3123,sobretudo,1
3124,aja,1
3125,resgatar,1
3126,condenadas,1
3127,subemprego,1
3128,grau,1
3129,comprometendo,1
3130,começamos,1
3131,parabenizar,1
3132,tradição,1
3133,época,1
3134,mec,1
3135,abandonada,1
3136,oponentes,1
3137,começadas,1
3138,tréplicas,1
3139,desconhecimento,1
3140,atolados,1
3141,acompanhem,1
3142,lembrando,1
3143,réplicas,1
3144,respostas,1
3145,somadas,1
3146,mudarmos,1
3147,administradas,1
3148,longo,1
3149,endividou,1
3150,aproximadamente,1
3151,desmandos,1
3152,refinarias,1
3153,falsa,1
3154,estruturalmente,1
3155,senadoras,1
3156,equação,1
3157,devo,1
3158,basicamente,1
3159,modestamente,1
3160,ajudei,1
3161,79,1
3162,encaminhando,1
3163,comunidade,1
3164,pedem,1
3165,clareza,1
3166,esforço,1
3167,imenso,1
3168,descuido,1
3169,pedagógico,1
3170,emancipador,1
3171,casas,1
3172,filantrópicas,1
3173,atendem,1
3174,desceu,1
3175,serpente,1
3176,emoção,1
3177,cativa,1
3178,bastante,1
3179,antiga,1
3180,atribuo,1
3181,marte,1
3182,construída,1
3183,contradições,1
3184,protesto,1
3185,reconhecido,1
3186,respeitosamente,1
3187,devastadora,1
3188,produziram,1
3189,encantador,1
3190,construir,1
